L’approccio empirico per la comprensione del comportamento umano enfatizza;l'osservazione diretta e la sperimentazione
Riordina le fasi che compongono il processo di ricerca;Riordina
2;Sviluppare un quesito di ricerca
2;Generare un'ipotesi di ricerca
2;Formare delle definizioni operative;
2;Scegliere un disegno di ricerca
2;Valutare l'etica della ricerca
2;Raccogliere e analizzare i dati e formulare delle conclusioni
2;Riferire sui dati.
Quando si conduce una ricerca, è importante per gli psicologi isolare ed evidenziare l’unicità del loro studio e
evitare collegamenti con ricerche precedenti;Falso
Una componente importante di ogni ricerca che usa l’inganno è la procedura del debriefing; True
Lo scetticismo scientifico si riferisce all’idea che: le affermazioni sui fenomeni dovrebbero essere verificate e le affermazioni non verificabili dovrebbero essere respinte;
L’etnocentrismo si verifica quando: i ricercatori cercano di comprendere una cultura diversa attraverso la struttura e la prospettiva della propria cultura;
Se una ricerca scientifica viene pubblicata su una rivista è sicuramente valida; False
Una domanda di ricerca può essere considerata rilevante quando: i risultati ottenuti probabilmente faranno progredire la scienza psicologica;
Gli psicologi comprendono ed individuano le strategie da utilizzare per migliorare la vita delle persone attraverso; Lo sviluppo di teorie e la conduzione di attività di ricerca;
L’evidenza scientifica più solida per un’affermazione su un certo comportamento: si basa sulla convergenza delle prove che provengono da studi diversi che esaminano lo stesso quesito di ricerca.
La formulazione di un’ipotesi di ricerca include: una forma di previsione di alcuni esiti con la spiegazione dei risultati attesi;
Quando un ricercatore inizia ad occuparsi di una ricerca deve decidere se il suo quesito sia un buon quesito, domandandosi perché qualcuno potrebbe essere interessato ai risultati ottenuti dal porsi tale interrogativo.
